titulo,ano,local,coautores,link_externo
Improving land cover classification through contextual-based optimum-path forest,2015,Elsevier,Daniel Osaku; Rodrigo YM Nakamura; Luís AM Pereira; Rodrigo Jose Pisani; Alexandre LM Levada; Fabio AM Cappabianco; Alexandre X Falcão; Joao P Papa,N/A
Fast and accurate holistic face recognition using optimum-path forest,2009,IEEE,Joao P Papa; Alexandre X Falcao; Alexandre LM Levada; Débora C Corrêa; Denis HP Salvadeo; Nelson DA Mascarenhas,N/A
A novel MAP-MRF approach for multispectral image contextual classification using combination of suboptimal iterative algorithms,2010,North-Holland,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannús,N/A
PCA-KL: a parametric dimensionality reduction approach for unsupervised metric learning,2021,Springer Berlin Heidelberg,Alexandre LM Levada,N/A
Learning from complex systems: On the roles of entropy and Fisher Information in pairwise isotropic Gaussian Markov random fields,2014,MDPI,Alexandre Levada,N/A
Nonlocal Markovian models for image denoising,2016,Society of Photo-Optical Instrumentation Engineers,Denis HP Salvadeo; Nelson DA Mascarenhas; Alexandre LM Levada,N/A
Pseudo-likelihood equations for Potts model on higher-order neighborhood systems: A quantitative approach for parameter estimation in image analysis,2009,N/A,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannús,N/A
A novel model for combining projection and image filtering using kalman and discrete wavelet transform in computerized tomography,2008,IEEE,Marcos AM Laia; Alexandre LM Levada; Leonardo C Botega; Maurício FL Pereira; Paulo E Cruvinel; Álvaro Macedo,N/A
A novel pseudo-likelihood equation for Potts MRF model parameter estimation in image analysis,2008,IEEE,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannús,N/A
Improving the learning speed in 2-layered LSTM network by estimating the configuration of hidden units and optimizing weights initialization,2008,Springer Berlin Heidelberg,Débora C Corrêa; Alexandre LM Levada; José H Saito,N/A
Neural network based systems for computer-aided musical composition: supervised x unsupervised learning,2008,Proceedings of the 2008 ACM symposium on Applied computing,Débora C Corrêa; Alexandre LM Levada; José H Saito; Joäo F Mari,N/A
A markov random field model for combining optimum-path forest classifiers using decision graphs and game strategy approach,2011,Springer Berlin Heidelberg,Moacir P Ponti Jr; João Paulo Papa; Alexandre LM Levada,N/A
MAP-MRF super-resolution image reconstruction using maximum pseudo-likelihood parameter estimation,2009,IEEE,Ana LD Martins; Alexandre LM Levada; Murillo RP Homem; Nelson DA Mascarenhas,N/A
ISOMAP-KL: a parametric approach for unsupervised metric learning,2020,IEEE,Alaor Cervati Neto; Alexandre LM Levada,N/A
OPF-MRF: Optimum-path forest and markov random fields for contextual-based image classification,2013,Springer Berlin Heidelberg,Rodrigo Nakamura; Daniel Osaku; Alexandre Levada; Fabio Cappabianco; Alexandre Falcão; Joao Papa,N/A
Finding Community Structure in Music Genres Networks.,2011,N/A,Débora C Corrêa; Alexandre LM Levada; Luciano da F Costa,N/A
A robust restricted boltzmann machine for binary image denoising,2017,Ieee,Rafael Gonçalves Pires; Daniel Felipe Silva Santos; Luís Augusto Martins Pereira; Gustavo Botelho De Souza; Alexandre Luís Magalhães Levada; João Paulo Papa,N/A
Fine-tuning contextual-based optimum-path forest for land-cover classification,2016,IEEE,Daniel Osaku; Danillo R Pereira; Alexandre LM Levada; Joao P Papa,N/A
Improving the neural meshes algorithm for 3D surface reconstruction with edge swap operations,2008,Proceedings of the 2008 ACM symposium on Applied computing,João F Mari; José Hiroki Saito; Gustavo Poli; Marcelo R Zorzan; Alexandre LM Levada,N/A
Using LSTM network in face classification problems,2008,N/A,Débora Corrêa; Denis Salvadeo; Alexandre Levada; José H Saito; Nelson DA,N/A
